X	Y	T	realZxx	imagZxx	realZxy	imagZxy	realZyx	imagZyx	realZyy	imagZyy	Rho	KR	Rho_real
-82000	98000	0.1	-5.00E-07	-4.33E-07	0.0241932	-0.0217685	-0.0241835	0.0217822	4.00E-07	7.29E-07	13.4155	0.99561397	13.4746
-62000	98000	0.1	2.11E-05	-7.50E-06	0.0241963	-0.0217707	-0.0241911	0.021786	-2.09E-05	6.70E-06	13.4204	0.996044145	13.4737
-42000	98000	0.1	-1.19E-06	2.48E-06	0.0241941	-0.0217766	-0.0241897	0.0217756	-2.51E-06	-1.36E-06	13.418	0.995777334	13.4749
-22000	98000	0.1	2.77E-05	-1.71E-05	0.0242115	-0.0217538	-0.0126751	0.0116036	-4.48E-06	-5.82E-06	7.08397	0.526055606	13.4662
-2000	98000	0.1	-6.66E-07	-4.72E-06	0.0242114	-0.0217581	-0.0242129	0.0217536	4.33E-08	3.10E-06	13.4193	0.996635622	13.4646
18000	98000	0.1	-3.63E-06	-5.28E-06	0.024282	-0.0217746	-0.0242704	0.021787	4.66E-06	5.30E-06	13.4724	0.999614175	13.4776
38000	98000	0.1	-1.24E-05	6.62E-06	0.0243712	-0.0218229	-0.0133089	0.0121543	1.28E-05	-2.90E-06	7.46767	0.552244424	13.5224
58000	98000	0.1	6.60E-06	1.04E-06	0.0242723	-0.0217971	-0.024315	0.0217919	-5.70E-06	-3.15E-06	13.4907	1.000237257	13.4875
78000	98000	0.1	-2.25E-06	-3.80E-07	0.0241932	-0.0217655	-0.0242159	0.0217767	1.83E-06	1.83E-06	13.423	0.9964146	13.4713
98000	98000	0.1	1.62E-06	2.42E-06	0.0241856	-0.0217728	-0.0242	0.0217838	-1.45E-06	-1.93E-06	13.4198	0.995918307	13.4748
118000	98000	0.1	-8.31E-08	-1.20E-06	0.0241879	-0.0217787	-0.0242042	0.0217832	-9.73E-07	-2.63E-07	13.4233	0.996178051	13.4748
138000	98000	0.1	-2.58E-06	-3.85E-06	0.0241909	-0.0217839	-0.0242013	0.0217884	7.70E-07	5.71E-06	13.4262	0.996319328	13.4758
-142000	118000	0.1	-1.42E-06	-2.15E-06	0.0241971	-0.0217831	-0.0241957	0.0217727	7.47E-07	2.78E-06	13.4218	0.996658449	13.4668
-122000	118000	0.1	-1.04E-06	-1.09E-06	0.0241895	-0.0217734	-0.0241957	0.0217727	4.54E-07	1.82E-06	13.4168	0.995939576	13.4715
-102000	118000	0.1	2.65E-08	2.84E-07	0.0241881	-0.0217742	-0.0241897	0.0217756	-2.24E-07	-2.21E-07	13.4156	0.995850499	13.4715
-82000	118000	0.1	1.63E-07	7.28E-07	0.0241895	-0.0217734	-0.0241897	0.0217756	-6.30E-08	-9.81E-07	13.4158	0.995865345	13.4715
-62000	118000	0.1	-9.41E-06	4.52E-06	0.0442446	-0.0406099	-0.0341838	0.0315514	-9.62E-07	-1.60E-06	35.3834	2.626537505	13.4715
-42000	118000	0.1	-5.80E-07	-2.78E-06	0.0241957	-0.0217839	-0.0241897	0.0217756	6.36E-07	1.72E-06	13.4206	0.996569341	13.4668
-22000	118000	0.1	8.92E-07	2.51E-06	0.0241928	-0.0217779	-0.0241913	0.0217712	-4.08E-07	-2.50E-06	13.4173	0.996376085	13.4661
-2000	118000	0.1	-2.91E-07	4.57E-07	0.0241886	-0.0217726	-0.0241868	0.0217696	3.79E-07	-7.27E-07	13.4127	0.995723926	13.4703
18000	118000	0.1	-9.51E-06	6.13E-06	0.0132515	-0.0121286	-0.0132349	0.0121159	3.22E-05	-1.71E-05	4.08237	0.303132031	13.4673
38000	118000	0.1	9.82E-07	6.33E-07	0.0241763	-0.0217554	-0.0242137	0.021764	-5.16E-07	-1.55E-06	13.4109	0.99605615	13.464
58000	118000	0.1	-2.55E-06	-2.61E-06	0.0241972	-0.021775	-0.0242048	0.0217609	2.20E-06	2.05E-06	13.4191	0.996346978	13.4683
78000	118000	0.1	1.22E-07	-5.91E-07	0.0241914	-0.0217742	-0.0241958	0.0217786	-3.56E-07	-1.16E-07	13.4192	0.99608076	13.472
98000	118000	0.1	-5.89E-07	-1.32E-06	0.0241945	-0.0217765	-0.0241926	0.0217704	6.82E-07	8.73E-07	13.4176	0.995991567	13.4716
118000	118000	0.1	-1.14E-05	-0.000208977	0.0464823	-0.0430692	-0.0472183	0.0428062	9.25E-05	-1.23E-05	51.1508	3.796879407	13.4718
138000	118000	0.1	4.56E-07	2.88E-07	0.0241924	-0.0217808	-0.0241913	0.0217712	-1.43E-07	-6.98E-08	13.4179	0.996050805	13.4711
-142000	138000	0.1	2.04E-05	-7.84E-06	0.024193	-0.0217683	-0.0241973	0.0217794	-2.19E-05	6.91E-06	13.4188	0.996487476	13.4661
-122000	138000	0.1	3.99E-08	-3.37E-07	0.0241955	-0.0217764	-0.0241913	0.0217712	-1.77E-07	3.61E-07	13.4177	0.996390991	13.4663
-102000	138000	0.1	-2.21E-07	3.87E-08	0.0241959	-0.0217802	-0.0241704	0.0217686	-7.14E-08	1.07E-08	13.4118	0.99595286	13.4663
-82000	138000	0.1	-1.00E-06	-1.13E-06	0.0241942	-0.0217771	-0.0241913	0.0217712	7.31E-07	1.29E-06	13.4175	0.996376139	13.4663
-62000	138000	0.1	-9.58E-10	-1.01E-07	0.0315556	-0.0289356	-0.0388403	0.0354349	7.59E-08	-1.06E-08	28.5088	2.117047741	13.4663
-42000	138000	0.1	2.27E-08	-7.47E-08	0.0242019	-0.0217714	-0.0169393	0.0154659	1.70E-07	-7.46E-08	9.45703	0.702284255	13.4661
-22000	138000	0.1	-1.84E-07	-1.33E-07	0.0241897	-0.0217756	-0.0241913	0.0217712	2.01E-07	-6.35E-08	13.4157	0.996257268	13.4661
-2000	138000	0.1	2.09E-05	-8.46E-06	0.0241826	-0.0217644	-0.0241779	0.0217665	-2.10E-05	8.41E-06	13.405	0.995447896	13.4663
18000	138000	0.1	-2.25E-07	1.91E-07	0.0241987	-0.0217846	-0.0241913	0.0217712	1.53E-07	-3.47E-07	13.4209	0.996628621	13.4663
38000	138000	0.1	-1.27E-06	2.55E-06	0.0126652	-0.0116105	-0.024201	0.021787	9.74E-07	-2.96E-07	7.08604	0.526213232	13.4661
58000	138000	0.1	-1.25E-05	-0.000207157	0.0464946	-0.0430772	-0.0472168	0.0428107	9.32E-05	-1.51E-05	51.1639	3.799205465	13.467
78000	138000	0.1	2.34E-07	-1.92E-08	0.024196	-0.021786	-0.0241897	0.0217756	-3.39E-08	-2.56E-07	13.4212	0.996599094	13.467
98000	138000	0.1	5.28E-06	-1.70E-06	0.0132278	-0.0121253	-0.024203	0.021752	1.09E-07	1.79E-07	7.39556	0.549161654	13.467
118000	138000	0.1	1.36E-06	1.94E-06	0.0241917	-0.0217749	-0.0241897	0.0217756	-9.08E-07	-1.43E-06	13.4169	0.996331583	13.4663
138000	138000	0.1	1.13E-07	-4.76E-08	0.0241973	-0.0217853	-0.0241897	0.0217756	-6.50E-09	2.75E-07	13.4214	0.996680553	13.4661
-142000	-142000	0.2	-3.28E-07	1.99E-07	0.0232491	-0.0114767	-0.0232513	0.0114794	3.84E-07	-5.81E-07	17.03	1.008085998	16.8934
-122000	-142000	0.2	-1.96E-07	-1.05E-07	0.0232497	-0.0114751	-0.023251	0.0114802	3.23E-07	-2.70E-07	17.03	1.008091965	16.8933
-102000	-142000	0.2	-3.73E-05	-1.03E-06	0.0375692	-0.0186906	-0.0375601	0.0186997	3.52E-05	-1.59E-06	44.5969	2.639932044	16.8932
-82000	-142000	0.2	3.42E-07	1.44E-09	0.0232499	-0.0114745	-0.0232619	0.0114801	-2.38E-07	2.19E-07	17.0363	1.008470864	16.8932
-62000	-142000	0.2	1.27E-05	-4.67E-06	0.0449488	-0.0224903	-0.0342469	0.017156	-1.77E-06	-5.22E-06	48.7659	2.886700645	16.8933
-42000	-142000	0.2	3.72E-05	-7.08E-07	0.0232577	-0.0114742	-0.0232704	0.0114583	-2.90E-05	2.31E-06	17.0395	1.008648348	16.8934
-22000	-142000	0.2	3.49E-06	-2.33E-08	0.0232747	-0.0114592	-0.0121779	0.00611375	-5.58E-07	-7.25E-07	8.95442	0.530051203	16.8935
-2000	-142000	0.2	5.18E-06	-5.74E-06	0.0341966	-0.0171267	-0.0342365	0.0171798	5.81E-06	7.69E-06	37.109	2.197163918	16.8895
18000	-142000	0.2	1.35E-07	-1.73E-07	0.02326	-0.0114705	-0.0232606	0.0114688	-1.59E-07	3.33E-07	17.0371	1.008727212	16.8897
38000	-142000	0.2	-1.52E-09	-7.89E-06	0.0342467	-0.0171941	-0.0449229	0.0224743	-1.38E-05	-9.65E-06	48.758	2.886814013	16.8899
