X	Y	T	realZxx	imagZxx	realZxy	imagZxy	realZyx	imagZyx	realZyy	imagZyy	Rho	KR	Rho_real
4000	3000	0.1	1.97E-05	5.76E-05	0.0190775	-0.020118	-0.0127734	0.0135299	1.34E-06	-3.03E-06	6.5337	0.674190346	9.69118
5000	3000	0.1	-1.30E-05	2.55E-05	0.0189811	-0.0200617	-0.0190469	0.0199253	1.91E-05	-5.98E-06	9.64167	0.999482723	9.64666
6000	3000	0.1	-3.23E-07	1.18E-05	0.0188354	-0.0199963	-0.0190459	0.0199793	2.81E-06	-5.13E-06	9.60354	0.995595079	9.64603
7000	3000	0.1	-4.26E-05	-2.36E-05	0.0318142	-0.0350879	-0.0318863	0.0349017	6.13E-06	-4.00E-06	28.3583	2.940289671	9.64473
8000	3000	0.1	4.06E-06	6.63E-06	0.0188438	-0.0199993	-0.0190207	0.0200034	-2.45E-06	-7.30E-06	9.60631	0.99583269	9.64651
9000	3000	0.1	-2.05E-06	1.14E-05	0.0189128	-0.0200201	-0.0189975	0.0200215	-2.04E-07	-6.14E-06	9.62716	0.998212434	9.6444
-9000	4500	0.1	-4.01E-06	-6.17E-08	0.0189283	-0.0200955	-0.0190074	0.0199986	5.29E-06	-1.21E-05	9.64664	1.000232259	9.6444
-8000	4500	0.1	-2.50E-06	-2.19E-05	0.012502	-0.0136983	-0.0190591	0.0200903	-3.04E-07	2.47E-05	6.50451	0.674349264	9.64561
-7000	4500	0.1	-6.72E-06	-1.94E-05	0.0125604	-0.0136971	-0.019048	0.0200912	-4.46E-06	3.21E-05	6.51639	0.675645355	9.64469
-6000	4500	0.1	2.62E-06	-3.72E-05	0.018982	-0.0200576	-0.0189747	0.0200084	-5.38E-06	1.79E-05	9.64448	0.999921205	9.64524
-5000	4500	0.1	-8.04E-05	-9.54E-05	0.0189901	-0.0200543	-0.0191088	0.0199424	1.31E-05	3.43E-05	9.66131	0.999936866	9.66192
-4000	4500	0.1	-0.000173881	-0.000123618	0.0191136	-0.0200651	-0.0194172	0.0200233	4.11E-05	5.66E-05	9.78952	1.001688322	9.77302
-3000	4500	0.1	-4.13E-05	-4.02E-05	0.0198071	-0.0201642	-0.0197786	0.0201855	2.49E-05	5.45E-05	10.1167	0.999980231	10.1169
-2000	4500	0.1	2.05E-05	-2.00E-05	0.019995	-0.0200838	-0.0198483	0.0201475	-5.33E-07	2.70E-05	10.1513	1.000128079	10.15
-1000	4500	0.1	1.44E-05	-2.01E-05	0.0199765	-0.0200597	-0.0198826	0.0201344	3.65E-06	1.29E-05	10.1458	1.000108431	10.1447
0	4500	0.1	4.51E-05	-1.44E-06	0.019959	-0.0200608	-0.0198692	0.0200928	-1.45E-05	-5.73E-06	10.1277	0.998501415	10.1429
1000	4500	0.1	9.99E-06	2.17E-05	0.0199318	-0.0200294	-0.0233995	0.0230623	1.70E-06	-2.33E-05	11.7578	1.158735008	10.1471
